day,rows,mean_manipulative_score,manipulative_rate,review_rate,manipulative_count,review_count
2024-11-20,803168,0.16969951257496138,0.20541281525160365,0.044863590182875814,164981,36033
2024-11-14,802547,0.16501370884726682,0.19986368399607748,0.043775629340088495,160400,35132
2024-11-19,810409,0.16073935689143928,0.19455484823095498,0.04373223890652744,157669,35441
2024-11-24,59045,0.1606446056768143,0.1931577610297231,0.04284867473960539,11405,2530
2024-11-21,821097,0.15942234639472075,0.1930843737098053,0.043623347789603424,158541,35819
2024-11-22,840225,0.15488548799329932,0.18751048826207267,0.04304085215269719,157551,36164
2024-11-23,868322,0.14053080572389132,0.16912619972775075,0.03930339205962765,146856,34128
